Degree,Specialization,CGPA,JobRole,Technologies
B.Tech,Computer Science,8.5,Software Engineer,"Python,Java,SQL,Git"
B.Tech,Computer Science,9.1,Software Engineer,"Python,C++,JavaScript,React"
B.Tech,Information Technology,7.8,Web Developer,"HTML,CSS,JavaScript,Node.js"
B.Tech,Information Technology,8.2,System Admin,"Linux,Windows Server,Networking,AWS"
B.Tech,Electronics,6.5,Hardware Engineer,"VHDL,Verilog,MATLAB,Circuit Design"
B.Tech,Electronics,7.2,Hardware Engineer,"Embedded C,Arduino,Raspberry Pi,IoT"
B.Sc,Data Science,8.8,Data Analyst,"Python,R,SQL,Tableau"
B.Sc,Data Science,7.5,Data Analyst,"Python,Excel,Power BI,Statistics"
B.Sc,Computer Science,6.9,Junior Developer,"Java,Python,MySQL,Git"
B.Sc,Mathematics,8.1,Data Analyst,"Python,R,Excel,Statistics"
B.Sc,Statistics,7.9,Data Scientist,"Python,R,Machine Learning,SQL"
B.Com,Accounting,8.5,Accountant,"Tally,Excel,SAP,QuickBooks"
B.Com,Finance,7.8,Financial Analyst,"Excel,SQL,Python,Financial Modeling"
B.Com,Finance,8.2,Financial Analyst,"Bloomberg,Excel,SAP,Power BI"
BBA,Marketing,7.5,Marketing Executive,"Google Analytics,SEO,Social Media,CRM"
BBA,HR,8.0,HR Manager,"HRMS,Excel,Recruitment Tools,LinkedIn"
BBA,Finance,6.8,Bank Officer,"Banking Software,Excel,Financial Analysis"
MBA,Finance,9.2,Investment Banker,"Bloomberg,Excel,Financial Modeling,SQL"
MBA,Marketing,8.5,Product Manager,"Jira,Google Analytics,SQL,Agile"
MBA,HR,7.9,HR Director,"HRMS,Excel,Leadership Tools,Analytics"
M.Tech,Computer Science,9.0,Senior Software Engineer,"Java,Python,Microservices,AWS"
M.Tech,Data Science,8.8,Machine Learning Engineer,"Python,TensorFlow,PyTorch,SQL"
M.Tech,VLSI,7.5,Chip Designer,"Verilog,VHDL,Cadence,Synopsys"
MCA,Software Systems,8.1,Software Developer,"Java,Spring,MySQL,Git"
MCA,Data Analytics,7.6,Business Analyst,"SQL,Python,Tableau,Excel"
BCA,Web Design,6.5,Frontend Developer,"HTML,CSS,JavaScript,React"
BCA,Mobile App,7.2,Mobile Developer,"Flutter,React Native,Java,Kotlin"
B.Des,Graphic Design,8.0,UI/UX Designer,"Figma,Adobe XD,Photoshop,Illustrator"
B.Des,Animation,7.5,Animator,"Maya,Blender,After Effects,Premiere Pro"
B.Arch,Architecture,8.5,Architect,"AutoCAD,Revit,SketchUp,3ds Max"
B.Pharm,Pharmaceuticals,7.8,Pharmacist,"Pharmacy Software,Medical Databases"
B.E,Civil Engineering,7.0,Civil Engineer,"AutoCAD,STAAD Pro,MS Project"
B.E,Mechanical,6.8,Mechanical Engineer,"SolidWorks,CATIA,ANSYS,MATLAB"
B.Tech,AI & ML,9.5,AI Researcher,"Python,TensorFlow,PyTorch,OpenCV"
B.Tech,Cyber Security,8.8,Security Analyst,"Wireshark,Kali Linux,Python,Network Security"
B.Tech,Computer Science,8.7,Software Engineer,"Python,JavaScript,AWS,Docker"
B.Tech,Computer Science,8.3,Full Stack Developer,"React,Node.js,MongoDB,Express"
B.Tech,Information Technology,8.0,DevOps Engineer,"Jenkins,Docker,Kubernetes,AWS"
B.Tech,Information Technology,7.9,Cloud Engineer,"AWS,Azure,GCP,Terraform"
B.Tech,Electronics,7.0,Embedded Engineer,"C,C++,RTOS,Embedded Linux"
B.Tech,Electronics,6.8,Test Engineer,"LabVIEW,Python,Testing Tools"
B.Sc,Computer Science,7.2,Software Tester,"Selenium,Java,TestNG,JIRA"
B.Sc,Computer Science,7.8,Junior Developer,"Python,Django,PostgreSQL,Git"
B.Sc,Data Science,8.5,Data Scientist,"Python,Machine Learning,SQL,AWS"
B.Sc,Data Science,8.2,Business Intelligence Analyst,"Power BI,SQL,Python,Excel"
B.Sc,Mathematics,7.6,Quantitative Analyst,"Python,R,Mathematica,Statistics"
B.Sc,Physics,7.4,Research Assistant,"MATLAB,Python,LabVIEW,Data Analysis"
B.Sc,Chemistry,7.0,Laboratory Technician,"Lab Software,Analytical Instruments"
B.Com,Accounting,8.0,Tax Consultant,"Tally,Excel,Tax Software"
B.Com,Accounting,7.5,Audit Associate,"Excel,SAP,Audit Tools"
B.Com,Finance,8.4,Investment Analyst,"Bloomberg,Excel,Python,Financial Modeling"
B.Com,Banking,7.2,Credit Analyst,"Banking Software,Excel,Risk Analysis"
BBA,Marketing,8.2,Digital Marketing Manager,"Google Ads,SEO,Social Media,Analytics"
BBA,Marketing,7.8,Brand Manager,"Market Research,Excel,CRM,PowerPoint"
BBA,HR,7.6,Recruitment Specialist,"LinkedIn,ATS,Excel,Interviewing"
BBA,Operations,7.4,Operations Manager,"Excel,ERP,Supply Chain Tools"
BBA,Finance,7.9,Financial Planner,"Excel,Financial Software,Analysis Tools"
MBA,Finance,8.8,Portfolio Manager,"Bloomberg,Excel,Python,Risk Management"
MBA,Finance,8.6,Corporate Finance Manager,"Excel,SAP,Financial Modeling"
MBA,Marketing,8.3,Marketing Director,"Google Analytics,CRM,Strategy Tools"
MBA,Operations,8.1,Supply Chain Manager,"SAP,Excel,Logistics Software"
MBA,HR,8.4,Talent Acquisition Manager,"ATS,LinkedIn,Excel,HR Analytics"
MBA,IT,8.7,IT Project Manager,"Jira,MS Project,Agile,Scrum"
M.Tech,Computer Science,8.9,Tech Lead,"Java,Python,Microservices,Leadership"
M.Tech,Computer Science,9.2,Architect,"AWS,Azure,System Design,Microservices"
M.Tech,Data Science,9.0,Senior Data Scientist,"Python,Spark,Machine Learning,AWS"
M.Tech,AI & ML,9.3,AI Engineer,"TensorFlow,PyTorch,Python,Deep Learning"
M.Tech,Cyber Security,8.6,Security Consultant,"Penetration Testing,Python,Network Security"
M.Tech,Electronics,8.2,Senior Hardware Engineer,"VHDL,FPGA,Embedded Systems"
MCA,Software Systems,8.5,Senior Developer,"Java,Spring Boot,Microservices,AWS"
MCA,Data Analytics,8.0,Senior Business Analyst,"SQL,Python,Tableau,Power BI"
MCA,Web Development,7.8,Full Stack Lead,"React,Node.js,MongoDB,AWS"
BCA,Web Design,7.0,UI Developer,"HTML,CSS,JavaScript,Bootstrap"
BCA,Web Design,6.8,Frontend Engineer,"React,Vue.js,CSS,SASS"
BCA,Mobile App,7.5,Android Developer,"Java,Kotlin,Android Studio,Firebase"
BCA,Mobile App,7.3,iOS Developer,"Swift,Xcode,iOS SDK"
B.Des,Graphic Design,7.8,Graphic Designer,"Photoshop,Illustrator,InDesign"
B.Des,UI/UX,8.2,UX Researcher,"Figma,User Testing,Analytics,Prototyping"
B.Des,Animation,7.6,3D Animator,"Maya,Blender,3ds Max,ZBrush"
B.Des,Game Design,7.4,Game Designer,"Unity,Unreal Engine,C#,Blender"
B.Arch,Architecture,8.2,Senior Architect,"Revit,AutoCAD,BIM,SketchUp"
B.Arch,Interior Design,7.8,Interior Designer,"AutoCAD,3ds Max,V-Ray"
B.Arch,Urban Planning,7.5,Urban Planner,"GIS,AutoCAD,Urban Design Software"
B.Pharm,Pharmaceuticals,8.0,Clinical Research Associate,"Clinical Trial Software,Data Analysis"
B.Pharm,Pharmaceuticals,7.6,Drug Safety Associate,"Pharmacovigilance,Databases"
B.Pharm,Pharmacy,7.9,Hospital Pharmacist,"Hospital Systems,Medical Software"
B.E,Civil Engineering,7.5,Structural Engineer,"STAAD Pro,ETABS,SAP2000"
B.E,Civil Engineering,7.2,Project Engineer,"MS Project,AutoCAD,Primavera"
B.E,Mechanical,7.3,Design Engineer,"SolidWorks,CATIA,ANSYS"
B.E,Mechanical,7.0,Production Engineer,"AutoCAD,Lean Manufacturing,ERP"
B.E,Electrical,7.4,Electrical Engineer,"MATLAB,AutoCAD,PLC"
B.E,Electronics,7.1,Electronics Engineer,"Multisim,Proteus,Embedded C"
B.Tech,Computer Science,8.6,Backend Developer,"Python,Django,PostgreSQL,Redis"
B.Tech,Computer Science,8.4,Data Engineer,"Python,Spark,Kafka,AWS"
B.Tech,Information Technology,8.1,Network Engineer,"Cisco,Networking,Python,Linux"
B.Tech,Information Technology,7.7,Database Administrator,"Oracle,MySQL,PostgreSQL,SQL"
B.Tech,AI & ML,9.1,Deep Learning Engineer,"PyTorch,TensorFlow,Keras,Python"
B.Tech,AI & ML,8.9,NLP Engineer,"Python,spaCy,NLTK,Transformers"
B.Tech,Cyber Security,8.5,Ethical Hacker,"Kali Linux,Metasploit,Python,Burp Suite"
B.Tech,Cyber Security,8.3,Security Engineer,"Firewall,IDS/IPS,Python,SIEM"
B.Tech,Biotechnology,7.8,Biotech Researcher,"Lab Software,Data Analysis,Python"
B.Tech,Chemical Engineering,7.5,Process Engineer,"Aspen Plus,MATLAB,Simulation"
B.Tech,Environmental Engineering,7.3,Environmental Consultant,"GIS,Environmental Software,Data Analysis"
B.Sc,Computer Science,7.5,Technical Support Engineer,"Linux,Networking,Troubleshooting"
B.Sc,Computer Science,7.1,IT Support Specialist,"Windows,Linux,Hardware,Networking"
B.Sc,Data Science,8.0,Junior Data Scientist,"Python,SQL,Machine Learning,Tableau"
B.Sc,Data Science,7.7,Data Engineer Trainee,"Python,SQL,ETL,AWS"
B.Sc,IT,7.3,System Administrator,"Linux,Windows Server,Networking"
B.Sc,Mathematics,7.8,Operations Research Analyst,"Python,R,Optimization,Excel"
B.Sc,Statistics,8.1,Statistical Analyst,"R,Python,SAS,SPSS"
B.Sc,Physics,7.6,Data Analyst,"Python,MATLAB,Data Visualization"
B.Sc,Chemistry,7.2,Quality Control Analyst,"Lab Software,Analytical Tools"
B.Sc,Biotechnology,7.4,Laboratory Assistant,"Lab Equipment,Data Recording"
B.Com,Accounting,7.9,Senior Accountant,"Tally,SAP,Excel,Accounting Standards"
B.Com,Accounting,7.6,Accounts Payable Specialist,"Excel,SAP,QuickBooks"
B.Com,Finance,8.1,Equity Research Analyst,"Bloomberg,Excel,Financial Modeling"
B.Com,Finance,7.7,Risk Analyst,"Excel,Risk Management Software,SQL"
B.Com,Banking,7.5,Relationship Manager,"Banking Software,CRM,Excel"
B.Com,Economics,7.8,Economic Analyst,"Excel,Stata,R,Data Analysis"
BBA,Marketing,8.0,Content Marketing Manager,"WordPress,SEO,Google Analytics,Social Media"
BBA,Marketing,7.6,Sales Manager,"CRM,Excel,PowerPoint,Negotiation"
BBA,HR,7.9,Training Manager,"LMS,Excel,Presentation Tools"
BBA,HR,7.5,Compensation Analyst,"Excel,HRMS,Analytics"
BBA,Operations,7.7,Logistics Coordinator,"ERP,Excel,Supply Chain Software"
BBA,Entrepreneurship,7.3,Business Development Manager,"CRM,Excel,Market Research"
MBA,Finance,9.0,Chief Financial Officer,"SAP,Excel,Financial Strategy,Leadership"
MBA,Finance,8.5,Treasury Manager,"Bloomberg,Excel,Cash Management"
MBA,Marketing,8.8,Chief Marketing Officer,"Analytics,CRM,Strategy,Leadership"
MBA,Marketing,8.2,SEO Manager,"Google Analytics,SEMrush,WordPress,Content"
MBA,Operations,8.4,Operations Director,"SAP,Lean Six Sigma,ERP"
MBA,HR,8.6,HR Business Partner,"HRMS,Excel,Analytics,Leadership"
MBA,IT,8.9,Chief Technology Officer,"Cloud,Architecture,Leadership,Strategy"
MBA,Data Science,8.7,Analytics Director,"Python,SQL,Tableau,Leadership"
M.Tech,Computer Science,8.8,Machine Learning Architect,"Python,TensorFlow,AWS,System Design"
M.Tech,Computer Science,9.1,Principal Engineer,"Java,Microservices,Kubernetes,Leadership"
M.Tech,Data Science,8.6,Data Science Manager,"Python,Spark,Team Management,AWS"
M.Tech,AI & ML,9.4,Research Scientist,"Python,PyTorch,Publications,Research"
M.Tech,Cyber Security,8.8,CISO,"Security Frameworks,Leadership,Risk Management"
M.Tech,Electronics,8.4,Hardware Architect,"FPGA,VHDL,System Design"
M.Tech,Telecommunications,8.2,Network Architect,"5G,Networking,Protocol Design"
MCA,Software Systems,8.3,Application Architect,"Java,Microservices,Cloud,Design Patterns"
MCA,Data Analytics,8.2,Analytics Manager,"SQL,Python,Tableau,Team Management"
MCA,Web Development,8.0,Technical Architect,"React,Node.js,AWS,Architecture"
BCA,Web Design,7.2,Web Designer,"WordPress,HTML,CSS,JavaScript"
BCA,Web Design,7.0,WordPress Developer,"WordPress,PHP,MySQL,CSS"
BCA,Mobile App,7.6,Senior Mobile Developer,"Flutter,React Native,Firebase"
BCA,Mobile App,7.4,Mobile App Tester,"Appium,Selenium,Mobile Testing"
B.Des,Graphic Design,8.1,Creative Director,"Adobe Suite,Leadership,Creative Strategy"
B.Des,UI/UX,8.5,Senior UX Designer,"Figma,User Research,Prototyping,Design Systems"
B.Des,Animation,7.9,Animation Director,"Maya,After Effects,Leadership"
B.Des,Game Design,7.7,Game Developer,"Unity,C#,Game Design,Blender"
B.Arch,Architecture,8.4,Project Architect,"Revit,BIM,AutoCAD,Project Management"
B.Arch,Interior Design,8.0,Senior Interior Designer,"AutoCAD,3ds Max,Design Software"
B.Arch,Landscape Design,7.6,Landscape Architect,"AutoCAD,GIS,Design Software"
B.Pharm,Pharmaceuticals,8.2,Regulatory Affairs Specialist,"Regulatory Software,Documentation"
B.Pharm,Pharmaceuticals,7.8,Medical Science Liaison,"Medical Databases,Presentation"
B.Pharm,Pharmacy,8.1,Pharmacy Manager,"Pharmacy Software,Inventory Management"
B.E,Civil Engineering,7.6,Site Engineer,"AutoCAD,MS Project,Quality Control"
B.E,Civil Engineering,7.4,Surveyor,"GIS,AutoCAD,Surveying Equipment"
B.E,Mechanical,7.5,Quality Engineer,"Six Sigma,Quality Tools,AutoCAD"
B.E,Mechanical,7.2,Maintenance Engineer,"AutoCAD,Maintenance Software,PLC"
B.E,Electrical,7.6,Power Systems Engineer,"MATLAB,AutoCAD,Power Systems"
B.E,Electrical,7.3,Control Systems Engineer,"PLC,SCADA,MATLAB,Python"
B.E,Electronics,7.4,VLSI Design Engineer,"Verilog,VHDL,Cadence,Synopsys"
B.E,Electronics,7.0,PCB Designer,"Altium,Eagle,Circuit Design"
B.Tech,Computer Science,8.8,Cloud Solutions Architect,"AWS,Azure,GCP,Terraform"
B.Tech,Computer Science,8.5,Solutions Engineer,"Python,APIs,Cloud,Customer Facing"
B.Tech,Information Technology,8.3,IT Consultant,"Multiple Technologies,Consulting,Analysis"
B.Tech,Information Technology,7.8,Technical Writer,"Documentation,Markdown,Git,APIs"
B.Tech,AI & ML,9.2,Computer Vision Engineer,"OpenCV,Python,Deep Learning,TensorFlow"
B.Tech,AI & ML,8.7,Robotics Engineer,"Python,ROS,C++,Machine Learning"
B.Tech,Cyber Security,8.6,Incident Responder,"Forensics,Python,SIEM,Incident Management"
B.Tech,Cyber Security,8.4,Compliance Analyst,"Security Frameworks,Audit,Documentation"
B.Tech,Biotechnology,8.0,Bioinformatics Analyst,"Python,R,Bioinformatics Tools"
B.Tech,Chemical Engineering,7.7,Plant Engineer,"Process Simulation,Safety Software"
B.Tech,Environmental Engineering,7.5,Sustainability Consultant,"GIS,Environmental Software,Reporting"
B.Sc,Computer Science,7.6,QA Engineer,"Selenium,Java,Test Automation,JIRA"
B.Sc,Computer Science,7.4,Business Analyst Trainee,"SQL,Excel,Requirements Gathering"
B.Sc,Data Science,8.3,Machine Learning Intern,"Python,Scikit-learn,Jupyter,SQL"
B.Sc,Data Science,7.9,Data Visualization Specialist,"Tableau,Power BI,Python,D3.js"
B.Sc,IT,7.5,Help Desk Analyst,"Ticketing Systems,Windows,Linux"
B.Sc,Mathematics,8.0,Actuarial Analyst,"Excel,R,Statistical Models"
B.Sc,Statistics,7.7,Market Research Analyst,"SPSS,Excel,Survey Tools"
B.Sc,Physics,7.8,Simulation Engineer,"MATLAB,Python,Physics Simulation"
B.Sc,Chemistry,7.4,Research Chemist,"Lab Software,Spectroscopy,Data Analysis"
B.Sc,Biotechnology,7.6,Clinical Data Manager,"Clinical Databases,Excel,Regulatory"
B.Com,Accounting,8.2,Finance Manager,"SAP,Excel,Financial Reporting"
B.Com,Accounting,7.8,Budget Analyst,"Excel,Financial Software,Forecasting"
B.Com,Finance,8.3,Wealth Manager,"Bloomberg,Financial Planning,CRM"
B.Com,Finance,7.9,Compliance Officer,"Regulatory Software,Documentation"
B.Com,Banking,7.7,Loan Officer,"Banking Software,Credit Analysis"
B.Com,Economics,8.0,Policy Analyst,"Stata,R,Excel,Research"
BBA,Marketing,8.1,Product Marketing Manager,"Analytics,CRM,Strategy,Content"
BBA,Marketing,7.7,Social Media Manager,"Social Platforms,Analytics,Content Creation"
BBA,HR,8.0,HR Analytics Specialist,"Excel,HRMS,Power BI,Statistics"
BBA,HR,7.6,Employee Relations Manager,"HRMS,Conflict Resolution,Documentation"
BBA,Operations,7.8,Procurement Manager,"ERP,Excel,Vendor Management"
BBA,Entrepreneurship,7.5,Startup Founder,"Multiple Tools,Business Planning"
MBA,Finance,8.9,Private Equity Analyst,"Bloomberg,Financial Modeling,Excel"
MBA,Finance,8.4, mergers and Acquisitions Analyst,"Bloomberg,Valuation,Excel"
MBA,Marketing,8.6,Customer Success Manager,"CRM,Analytics,Communication"
MBA,Marketing,8.1,Growth Hacker,"Analytics,SEO,A/B Testing,SQL"
MBA,Operations,8.5,Quality Director,"Six Sigma,Quality Management,Leadership"
MBA,HR,8.3,Organizational Development Manager,"HRMS,Change Management,Analytics"
MBA,IT,9.1,VP of Engineering,"Cloud,Architecture,Leadership,Strategy"
MBA,Data Science,8.8,Chief Data Officer,"Python,SQL,Data Strategy,Leadership"
M.Tech,Computer Science,9.3,Staff Engineer,"Java,Python,System Design,Mentoring"
M.Tech,Computer Science,8.7,Engineering Manager,"Technical Skills,Leadership,Agile"
M.Tech,Data Science,8.9,AI Product Manager,"Python,SQL,Product Management,AI"
M.Tech,AI & ML,9.0,AI Ethics Specialist,"Python,Policy,Ethics Frameworks"
M.Tech,Cyber Security,9.0,Security Architect,"Security Design,Cloud,Compliance"
M.Tech,Electronics,8.6,Systems Engineer,"Embedded Systems,Integration,Testing"
M.Tech,Telecommunications,8.4,Telecom Engineer,"5G,Network Design,Protocol"
MCA,Software Systems,8.6,DevOps Lead,"Jenkins,Kubernetes,AWS,Terraform"
MCA,Data Analytics,8.4,Data Product Manager,"SQL,Python,Product Management"
MCA,Web Development,8.2,Frontend Architect,"React,Vue,Architecture,Performance"
BCA,Web Design,7.4,E-commerce Developer,"Shopify,WooCommerce,PHP,JavaScript"
BCA,Web Design,7.1,SEO Specialist,"Google Analytics,SEO Tools,Content"
BCA,Mobile App,7.7,Mobile QA Engineer,"Appium,Mobile Testing,Automation"
BCA,Mobile App,7.5,Mobile UI Designer,"Figma,Mobile Design,Prototyping"
B.Des,Graphic Design,8.3,Brand Designer,"Adobe Suite,Branding,Strategy"
B.Des,UI/UX,8.4,Product Designer,"Figma,User Research,Design Systems"
B.Des,Animation,8.1,VFX Artist,"After Effects,Nuke,Compositing"
B.Des,Game Design,7.9,Level Designer,"Unity,Unreal,Game Design"
B.Arch,Architecture,8.6,Design Architect,"Revit,Design,BIM,Creative"
B.Arch,Interior Design,8.2,Space Planner,"AutoCAD,Space Planning,Design"
B.Arch,Landscape Design,7.8,Environmental Designer,"GIS,Sustainable Design,AutoCAD"
B.Pharm,Pharmaceuticals,8.4,Pharmacovigilance Specialist,"Safety Databases,Regulatory"
B.Pharm,Pharmaceuticals,8.0,Formulation Scientist,"Lab Software,Formulation,Analysis"
B.Pharm,Pharmacy,8.3,Clinical Pharmacist,"Clinical Systems,Patient Care"
B.E,Civil Engineering,7.7,Geotechnical Engineer,"Geo-Software,Analysis,AutoCAD"
B.E,Civil Engineering,7.5,Transportation Engineer,"Traffic Software,AutoCAD,Planning"
B.E,Mechanical,7.6,Thermal Engineer,"ANSYS,CFD,MATLAB,Thermal Analysis"
B.E,Mechanical,7.4,Automotive Engineer,"CATIA,Automotive Software,Design"
B.E,Electrical,7.7,Renewable Energy Engineer,"PV Software,Grid Analysis,MATLAB"
B.E,Electrical,7.5,Instrumentation Engineer,"PLC,SCADA,Instrumentation"
B.E,Electronics,7.6,Antenna Engineer,"HFSS,Antenna Design,Simulation"
B.E,Electronics,7.2,Signal Processing Engineer,"MATLAB,DSP,Python,Algorithms"
B.Tech,Computer Science,9.0,Distinguished Engineer,"Multiple Languages,Architecture,Innovation"
B.Tech,Computer Science,8.9,Principal Software Engineer,"Java,Python,Leadership,Architecture"
B.Tech,Information Technology,8.5,Enterprise Architect,"TOGAF,Cloud,Enterprise Systems"
B.Tech,Information Technology,8.2,IT Auditor,"Audit Tools,Compliance,Security"
B.Tech,AI & ML,9.3,AI Research Lead,"Python,Research,Publications,Team Lead"
B.Tech,AI & ML,9.1,MLOps Engineer,"Python,Kubernetes,ML Pipelines,AWS"
B.Tech,Cyber Security,8.9,Threat Intelligence Analyst,"Threat Platforms,Python,Analysis"
B.Tech,Cyber Security,8.7,Penetration Tester,"Kali,Burp Suite,Python,Reporting"
B.Tech,Biotechnology,8.2,Computational Biologist,"Python,R,Bioinformatics,Databases"
B.Tech,Chemical Engineering,7.9,Safety Engineer,"Safety Software,Risk Assessment"
B.Tech,Environmental Engineering,7.7,Water Resources Engineer,"Hydrology Software,GIS,Modeling"
B.Sc,Computer Science,7.7,Technical Consultant,"Multiple Technologies,Client Facing"
B.Sc,Computer Science,7.5,Implementation Specialist,"Software Implementation,Training"
B.Sc,Data Science,8.4,Senior Data Analyst,"Python,SQL,Tableau,Statistics"
B.Sc,Data Science,8.1,Data Operations Analyst,"SQL,Python,ETL,Data Quality"
B.Sc,IT,7.6,Infrastructure Engineer,"Cloud,Networking,Automation"
B.Sc,Mathematics,8.2,Data Scientist,"Python,R,Machine Learning,Statistics"
B.Sc,Statistics,8.0,Biostatistician,"R,SAS,Clinical Trials,Statistics"
B.Sc,Physics,7.9,Optical Engineer,"Optical Software,MATLAB,Design"
B.Sc,Chemistry,7.6,Analytical Chemist,"Spectroscopy,Lab Software,Analysis"
B.Sc,Biotechnology,7.8,Quality Assurance Specialist,"QA Software,Documentation,Compliance"
B.Com,Accounting,8.4,Controller,"SAP,Excel,Financial Controls"
B.Com,Accounting,8.0,Internal Auditor,"Audit Software,Excel,Compliance"
B.Com,Finance,8.5,Portfolio Analyst,"Bloomberg,Python,Portfolio Management"
B.Com,Finance,8.1,Corporate Development Analyst,"Excel,Financial Modeling,M&A"
B.Com,Banking,7.9,Treasury Analyst,"Bloomberg,Excel,Cash Management"
B.Com,Economics,8.2,Research Economist,"Stata,R,Research,Publications"
BBA,Marketing,8.3,Marketing Analyst,"Google Analytics,SQL,Excel"
BBA,Marketing,7.9,Event Marketing Manager,"Event Software,CRM,Planning"
BBA,HR,8.1,Diversity & Inclusion Manager,"HRMS,Analytics,Program Management"
BBA,HR,7.8,Benefits Administrator,"HRMS,Excel,Benefits Software"
BBA,Operations,8.0,Inventory Manager,"ERP,Excel,Supply Chain"
BBA,Entrepreneurship,7.6,Business Analyst,"Excel,Market Research,Analysis"
MBA,Finance,9.1,Investment Director,"Bloomberg,Leadership,Strategy"
MBA,Finance,8.7,Finance Director,"SAP,Excel,Financial Strategy"
MBA,Marketing,8.9,Brand Director,"Brand Strategy,Analytics,Leadership"
MBA,Marketing,8.4,Digital Strategy Director,"Analytics,SEO,Strategy,Leadership"
MBA,Operations,8.7,Supply Chain Director,"SAP,Supply Chain,Leadership"
MBA,HR,8.5,Chief Human Resources Officer,"HRMS,Strategy,Leadership"
MBA,IT,9.2,Chief Information Officer,"Enterprise Systems,Strategy,Leadership"
MBA,Data Science,9.0,Head of Data Science,"Python,SQL,Team Management,Strategy"
M.Tech,Computer Science,9.4,VP of Technology,"Cloud,Architecture,Leadership,Vision"
M.Tech,Computer Science,9.0,Director of Engineering,"Technical Leadership,Management"
M.Tech,Data Science,9.1,Head of Analytics,"Python,SQL,Analytics,Leadership"
M.Tech,AI & ML,9.5,Head of AI,"Python,AI Strategy,Research,Leadership"
M.Tech,Cyber Security,9.2,VP of Security,"Security Strategy,Leadership,Compliance"
M.Tech,Electronics,8.8,Director of Hardware,"Hardware Strategy,Leadership"
M.Tech,Telecommunications,8.6,Network Director,"Network Strategy,5G,Leadership"
MCA,Software Systems,8.8,Director of Software,"Software Strategy,Leadership"
MCA,Data Analytics,8.6,Head of Business Intelligence,"SQL,Tableau,BI Strategy"
MCA,Web Development,8.4,Director of Web Technologies,"Web Architecture,Leadership"
BCA,Web Design,7.6,Senior Web Developer,"React,Node.js,Mentoring"
BCA,Web Design,7.3,Web Project Manager,"Project Management,Web Technologies"
BCA,Mobile App,7.8,Mobile Development Lead,"Mobile Technologies,Team Lead"
BCA,Mobile App,7.6,Mobile Product Manager,"Mobile,Product Management"
B.Des,Graphic Design,8.5,Design Director,"Design Strategy,Leadership,Creative"
B.Des,UI/UX,8.6,Head of UX,"UX Strategy,Research,Leadership"
B.Des,Animation,8.3,Animation Studio Head,"Animation,Leadership,Production"
B.Des,Game Design,8.1,Game Design Director,"Game Design,Leadership,Vision"
B.Arch,Architecture,8.8,Principal Architect,"Architecture,Leadership,Clients"
B.Arch,Interior Design,8.4,Interior Design Director,"Design,Leadership,Projects"
B.Arch,Landscape Design,8.0,Landscape Design Director,"Design,Planning,Leadership"
B.Pharm,Pharmaceuticals,8.6,Director of Regulatory Affairs,"Regulatory,Leadership,Strategy"
B.Pharm,Pharmaceuticals,8.2,Medical Director,"Medical,Leadership,Strategy"
B.Pharm,Pharmacy,8.5,Director of Pharmacy,"Pharmacy Operations,Leadership"
B.E,Civil Engineering,7.9,Project Director,"Project Management,Civil,Leadership"
B.E,Civil Engineering,7.6,Construction Manager,"Construction,Management,Planning"
B.E,Mechanical,7.7,Engineering Manager,"Mechanical,Management,Leadership"
B.E,Mechanical,7.5,Manufacturing Manager,"Manufacturing,Lean,Management"
B.E,Electrical,7.8,Electrical Project Manager,"Electrical,Project Management"
B.E,Electrical,7.6,Power Plant Manager,"Power Systems,Operations,Management"
B.E,Electronics,7.7,Electronics Manager,"Electronics,Management,Strategy"
B.E,Electronics,7.4,Product Manager - Hardware,"Hardware,Product Management"
